"","Country_or_Area","Max_y","Year","Area","Divorces","EducationF","EducationM","GDPpc","LitParityIndex","LiteracyF","LiteracyM","SingulateAgeWomen","SingulateAgeMen","Marriages","PopulationF","PopulationM"
"2","Albania","2017","2017","Total",4508,32897,20117,13364.1553966514,1,99.5,99.4,25.1,29.2,23104,1582647,1571084
"6","Armenia","2017","2017","Total",3940,48060,38569,10343.1755901515,1,99.9,99.8,24.4,27.8,15214,1610700,1406961
"7","Aruba","2017","2017","Total",378,1259,847,39454.6298306781,1,99.2,98.9,28.5,31.2,537,53573,49324
"10","Azerbaijan","2017","2017","Total",14514,60131,68503,18044.1367837983,1,99.9,99.9,24.4,28.2,62923,4291715,4060306
"13","Belarus","2018","2017","Total",32006,299984,228524,19994.8040788005,1,99.8,99.8,24.6,26.9,60714,5228285,4567002
"19","Bulgaria","2018","2017","Total",10411,123940,113969,21960.3699424605,1,98.1,98.3,26.2,29.8,28961,3986736,3757855
"22","Chile","2010","2010","Total",1558,319529,344165,25222.5277771449,1,99.2,98.8,27.4,29.3,61320,8233861,8061241
"23","China","2012","2012","Total",2388000,9944290,11391356,18236.6129816498,0.99,98.5,99.2,24.7,26.5,12971000,634803326,678175529
"25","Costa Rica","2018","2017","Total",12661,60144,50573,17671.0953526733,1.01,98,97.2,23.9,27,23604,2127444,2199784
"26","Croatia","2017","2017","Total",6265,64749,56973,27579.7808327382,1,99.7,99.6,26.2,29.8,20310,2360661,2190829
"29","Cyprus","2017","2017","Total",1932,10442,9636,36155.4807539388,1,99.8,99.7,27.9,30.8,5882,429305,407016
"33","Dominican Republic","2017","2017","Total",24218,180045,113520,17748.1853186175,1.03,95.4,93,21,25.4,49625,4717763,4751838
"35","Estonia","2018","2017","Total",3323,41677,26083,35973.7764604798,1,99.8,99.7,24.5,26.7,6573,725239,619073
"44","Greece","2017","2017","Total",19190,330440,316147,29592.1524196167,1,99,98.9,26.9,31.3,47428,5604644,5495093
"54","Italy","2017","2017","Total",91629,1139807,875191,41830.4263276444,1,99.8,99.8,30.6,34,191287,30167667,28478693
"58","Kazakhstan","2018","2017","Total",54626,437742,315439,27879.7519462896,1,99.9,99.8,25.1,28.1,137797,7936955,7273654
"59","Kuwait","2018","2017","Total",7433,27127,11503,72897.562345371,1,99.8,99.7,27.5,28.9,14400,1071450,1628550
"61","Latvia","2018","2017","Total",5943,82575,48131,30304.852496882,1,99.8,99.7,29.9,32.4,13058,1241815,1059978
"64","Lithuania","2018","2017","Total",8518,117493,77912,35461.3590993235,1,99.7,99.7,29.1,31.7,19734,1828313,1596764
"66","Malta","2017","2017","Total",312,5319,4122,42581.0978615749,1.04,97.8,94.4,28.2,31,2934,202589,200028
"68","Mauritius","2018","2017","Total",1996,9313,7539,23750.9880399871,1.02,95.4,93.7,22.6,28.5,10034,624931,616242
"70","Mexico","2017","2017","Total",147581,1198441,1186417,19844.6456685975,1,97.6,97.6,23,25.5,501298,53347441,50918951
"72","Mongolia","2018","2017","Total",3945,76049,47775,13799.9048471337,1.01,98.4,97,24.2,26.2,21020,1293313,1287391
"79","Panama","2017","2017","Total",4470,77200,49042,25553.6967088531,0.99,95.6,96.5,21.6,25.3,13360,1601395,1630107
"80","Peru","2017","2017","Total",15931,454510,454805,14418.070667873,0.98,96.3,97.9,23.5,26.6,79740,13609283,13664983
"82","Portugal","2017","2017","Total",21577,212053,168884,33415.4379006894,1,99.6,99.6,25.6,28.3,34637,5439107,5089119
"84","Qatar","2017","2017","Total",1206,6641,3119,126898.425931605,1.03,97.5,94.9,25.4,27.3,3758,261598,534588
"88","Romania","2017","2017","Total",31147,403697,335109,28206.3570497561,1,97.8,97.7,26.6,29.8,143292,11091347,10536210
"100","Slovenia","2018","2017","Total",2387,64885,47343,38048.7846591976,1,99.9,99.8,30.7,33.2,7256,1024178,975247
"101","Spain","2018","2017","Total",97960,972119,837234,39715.4390594866,1,99.6,99.5,29.3,31.6,163430,22022115,21375376
"103","Suriname","2017","2017","Total",855,3213,1973,15510.4646355856,0.98,94.1,95.6,28.8,31.8,1996,225950,226518
"106","Tajikistan","2017","2017","Total",10053,30947,88370,3449.77931578962,1,99.8,99.8,22.1,24.7,78638,3297248,3252965
"110","Ukraine","2017","2017","Total",128734,1408242,1196633,9233.15046924005,1,99.8,99.8,23.1,25.9,249522,25255408,21662136
