"","Country_or_Area","Max_y","Year","Area","Divorces","EducationF","EducationM","GDPpc","LitParityIndex","LiteracyF","LiteracyM","SingulateAgeWomen","SingulateAgeMen","Marriages","PopulationF","PopulationM"
"1","Åland Islands","2018","2017","Total",44,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA
"2","Albania","2017","2017","Total",4508,32897,20117,13364.1553966514,1,99.5,99.4,25.1,29.2,23104,1582647,1571084
"3","American Samoa","2017","2017","Total",89,NA,NA,NA,NA,NA,NA,25.7,NA,228,28027,29264
"4","Anguilla","2009","2009","Total",0,25,8,NA,NA,NA,NA,28.6,31.6,64,5860,5701
"5","Antigua and Barbuda","2009","2009","Total",108,NA,NA,26868.1335238429,NA,NA,NA,25.7,29.3,1690,43104,38166
"6","Armenia","2017","2017","Total",3940,48060,38569,10343.1755901515,1,99.9,99.8,24.4,27.8,15214,1610700,1406961
"7","Aruba","2017","2017","Total",378,1259,847,39454.6298306781,1,99.2,98.9,28.5,31.2,537,53573,49324
"8","Australia","2017","2017","Total",49032,553069,461991,51663.3650948449,NA,NA,NA,29.7,31.6,112954,10209292,10100916
"9","Austria","2018","2017","Total",16180,131144,113266,55454.689293289,NA,NA,NA,31,33.6,46468,4231961,4060018
"10","Azerbaijan","2017","2017","Total",14514,60131,68503,18044.1367837983,1,99.9,99.9,24.4,28.2,62923,4291715,4060306
"11","Bahamas","2010","2010","Total",399,NA,NA,NA,NA,NA,NA,27.4,29.9,3574,165027,158268
"12","Barbados","2014","2014","Total",443,5640,2339,18554.1292823844,NA,NA,NA,31.8,34.3,1855,150646,141287
"13","Belarus","2018","2017","Total",32006,299984,228524,19994.8040788005,1,99.8,99.8,24.6,26.9,60714,5228285,4567002
"14","Belgium","2017","2017","Total",23068,211974,177573,51407.9983373414,NA,NA,NA,30.7,33,44329,5309105,5088944
"15","Bermuda","2017","2017","Total",173,1080,880,52547.3330901036,NA,NA,NA,30.6,31.5,430,32997,30323
"16","Bosnia and Herzegovina","2017","2017","Total",1961,NA,NA,14623.6740532923,1,99.8,99.7,NA,NA,19617,2010766,1904472
"17","British Virgin Islands","2017","2017","Total",49,825,375,NA,NA,NA,NA,28.4,31.9,177,10020,10627
"18","Brunei Darussalam","2017","2017","Total",632,NA,NA,NA,NA,NA,NA,25,28.4,2540,NA,NA
"19","Bulgaria","2018","2017","Total",10411,123940,113969,21960.3699424605,1,98.1,98.3,26.2,29.8,28961,3986736,3757855
"20","Canada","2008","2008","Total",70226,748927,577784,48130.2559725043,NA,NA,NA,26.6,28.6,147288,16290996,15979511
"21","Cayman Islands","2009","2009","Total",93,291,99,72607.570767153,NA,NA,NA,28,29.9,516,23005,21235
"22","Chile","2010","2010","Total",1558,319529,344165,25222.5277771449,1,99.2,98.8,27.4,29.3,61320,8233861,8061241
"23","China","2012","2012","Total",2388000,9944290,11391356,18236.6129816498,0.99,98.5,99.2,24.7,26.5,12971000,634803326,678175529
"24","China, Macao SAR","2018","2017","Total",1479,NA,NA,NA,NA,NA,NA,27.7,29.5,3842,NA,NA
"25","Costa Rica","2018","2017","Total",12661,60144,50573,17671.0953526733,1.01,98,97.2,23.9,27,23604,2127444,2199784
"26","Croatia","2017","2017","Total",6265,64749,56973,27579.7808327382,1,99.7,99.6,26.2,29.8,20310,2360661,2190829
"27","Cuba","2018","2017","Total",32183,293089,178769,NA,1,100,100,21.1,25.3,58070,5624298,5635607
"28","Curaçao","2017","2017","Total",415,NA,NA,NA,NA,NA,NA,NA,NA,729,NA,NA
"29","Cyprus","2017","2017","Total",1932,10442,9636,36155.4807539388,1,99.8,99.7,27.9,30.8,5882,429305,407016
"30","Czechia","2018","2017","Total",25755,NA,NA,NA,NA,NA,NA,NA,NA,54470,NA,NA
"31","Denmark","2018","2017","Total",15265,133376,98879,55671.1652650668,NA,NA,NA,31,32.8,32525,2737223,2679722
"32","Dominica","2014","2014","Total",80,NA,NA,11129.8611927628,NA,NA,NA,32.5,36.5,240,34910,35472
